race_id,year,round,gp_name,circuit,driver,team,finish_position,is_dnf,grid_position,quali_gap_to_pole,lap_consistency_std,lap_consistency_n,tyre_deg_slope,stint_count,compound_start,air_temp,track_temp,temp_delta,is_wet,humidity,driver_recent_avg_pos,constructor_dnf_rate,circuit_type,is_street_circuit,season_phase,pit_stop_count,strategy_delta,avg_speed_trap,speed_trap_percentile,chaos_index,driver_recent_form_score,constructor_recent_form_score,track_specific_driver_score,wet_performance_score,street_circuit_score,overtake_difficulty_factor,pit_stop_efficiency,safety_car_sensitivity,quali_to_race_conversion,dnf_risk_score,avg_top_speed_last_5,straight_line_speed_percentile_last_5,avg_deg_same_compound_last_5,constructor_strategy_score,field_strength
2018_01,2018,1,Australian Grand Prix,Melbourne,ALO,McLaren,5,0,10,0.029976,0.1944,41,-0.081427,2,UNKNOWN,24.1,36.7,12.6,1,30.3,,,street,1,early,1,5.0,,,0.75,,,,,,0.5,,,,,,,,,0.5251018302374004
2018_01,2018,1,Australian Grand Prix,Melbourne,BOT,Mercedes,8,0,15,0.011397,0.849,41,-0.030661,2,UNKNOWN,24.1,36.7,12.6,1,30.3,,,street,1,early,1,7.0,,,0.75,,,,,,0.5,,,,,,,,,0.5251018302374004
2018_01,2018,1,Australian Grand Prix,Melbourne,ERI,Sauber,21,1,17,0.041792,,0,,1,UNKNOWN,24.1,36.7,12.6,1,30.3,,,street,1,early,0,-3.0,,,0.75,,,,,,0.5,,,,,,,,,0.5251018302374004
2018_01,2018,1,Australian Grand Prix,Melbourne,GAS,Toro Rosso,21,1,20,0.050897,0.2757,5,-0.141568,1,UNKNOWN,24.1,36.7,12.6,1,30.3,,,street,1,early,0,-3.0,,,0.75,,,,,,0.5,,,,,,,,,0.5251018302374004
2018_01,2018,1,Australian Grand Prix,Melbourne,GRO,Haas F1 Team,21,1,6,0.026798,0.2181,14,-0.004875,1,UNKNOWN,24.1,36.7,12.6,1,30.3,,,street,1,early,0,-3.0,,,0.75,,,,,,0.5,,,,,,,,,0.5251018302374004
2018_01,2018,1,Australian Grand Prix,Melbourne,HAM,Mercedes,2,0,1,0.0,0.5295,40,-0.077069,2,UNKNOWN,24.1,36.7,12.6,1,30.3,,,street,1,early,1,-1.0,,,0.75,,0.16,,,,0.5,7.0,,7.0,0.0,,,,6.65,0.5251018302374004
2018_01,2018,1,Australian Grand Prix,Melbourne,HAR,Toro Rosso,15,0,16,0.041496,0.3531,39,-0.03794,2,UNKNOWN,24.1,36.7,12.6,1,30.3,,,street,1,early,1,1.0,,,0.75,,0.0,,,,0.5,-3.0,,-3.0,1.0,,,,-3.0,0.5251018302374004
2018_01,2018,1,Australian Grand Prix,Melbourne,HUL,Renault,7,0,7,0.029175,0.8506,41,-0.041985,2,UNKNOWN,24.1,36.7,12.6,1,30.3,,,street,1,early,1,0.0,,,0.75,,,,,,0.5,,,,,,,,,0.5251018302374004
2018_01,2018,1,Australian Grand Prix,Melbourne,LEC,Sauber,13,0,18,0.042778,0.4176,39,-0.090727,3,UNKNOWN,24.1,36.7,12.6,1,30.3,,,street,1,early,2,5.0,,,0.75,,0.0,,,,0.5,-3.0,,-3.0,1.0,,,,-3.0,0.5251018302374004
2018_01,2018,1,Australian Grand Prix,Melbourne,MAG,Haas F1 Team,21,1,5,0.024925,0.3242,13,-0.038588,1,UNKNOWN,24.1,36.7,12.6,1,30.3,,,street,1,early,0,-3.0,,,0.75,,0.0,,,,0.5,-3.0,,-3.0,1.0,,,,-3.0,0.5251018302374004
2018_01,2018,1,Australian Grand Prix,Melbourne,OCO,Force India,12,0,14,0.041139,2.3583,41,-0.05729,2,UNKNOWN,24.1,36.7,12.6,1,30.3,,,street,1,early,1,2.0,,,0.75,,,,,,0.5,,,,,,,,,0.5251018302374004
2018_01,2018,1,Australian Grand Prix,Melbourne,PER,Force India,11,0,12,0.035003,0.4261,41,-0.040929,2,UNKNOWN,24.1,36.7,12.6,1,30.3,,,street,1,early,1,1.0,,,0.75,,0.0,,,,0.5,2.0,,2.0,0.0,,,,1.65,0.5251018302374004
2018_01,2018,1,Australian Grand Prix,Melbourne,RAI,Ferrari,3,0,2,0.008181,0.5004,39,-0.096586,2,UNKNOWN,24.1,36.7,12.6,1,30.3,,,street,1,early,1,-1.0,,,0.75,,,,,,0.5,,,,,,,,,0.5251018302374004
2018_01,2018,1,Australian Grand Prix,Melbourne,RIC,Red Bull Racing,4,0,8,0.012173,0.7249,41,-0.022593,2,UNKNOWN,24.1,36.7,12.6,1,30.3,,,street,1,early,1,4.0,,,0.75,,,,,,0.5,,,,,,,,,0.5251018302374004
2018_01,2018,1,Australian Grand Prix,Melbourne,SAI,Renault,10,0,9,0.023372,0.3136,40,-0.051429,2,UNKNOWN,24.1,36.7,12.6,1,30.3,,,street,1,early,1,-1.0,,,0.75,,0.24,,,,0.5,0.0,,0.0,0.0,,,,-0.35,0.5251018302374004
2018_01,2018,1,Australian Grand Prix,Melbourne,SIR,Williams,21,1,19,0.046301,,0,,1,UNKNOWN,24.1,36.7,12.6,1,30.3,,,street,1,early,0,-3.0,,,0.75,,,,,,0.5,,,,,,,,,0.5251018302374004
2018_01,2018,1,Australian Grand Prix,Melbourne,STR,Williams,14,0,13,0.037775,1.1499,41,-0.049401,3,UNKNOWN,24.1,36.7,12.6,1,30.3,,,street,1,early,2,-1.0,,,0.75,,0.0,,,,0.5,-3.0,,-3.0,1.0,,,,-3.0,0.5251018302374004
2018_01,2018,1,Australian Grand Prix,Melbourne,VAN,McLaren,9,0,11,0.03313,0.4047,40,-0.053344,2,UNKNOWN,24.1,36.7,12.6,1,30.3,,,street,1,early,1,2.0,,,0.75,,0.4,,,,0.5,5.0,,5.0,0.0,,,,4.65,0.5251018302374004
2018_01,2018,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,6,0,4,0.008809,0.3505,39,-0.050094,2,UNKNOWN,24.1,36.7,12.6,1,30.3,,,street,1,early,1,-2.0,,,0.75,,0.48,,,,0.5,4.0,,4.0,0.0,,,,3.65,0.5251018302374004
2018_01,2018,1,Australian Grand Prix,Melbourne,VET,Ferrari,1,0,3,0.008304,0.7832,42,-0.03071,2,UNKNOWN,24.1,36.7,12.6,1,30.3,,,street,1,early,1,2.0,,,0.75,,0.6,,,,0.5,-1.0,,-1.0,0.0,,,,-1.35,0.5251018302374004
